Timestep Origin,Integrated ACF
706000,218001558.94871336
708000,217524385.86723
710000,217106012.90667668
712000,216791063.8136
714000,216413680.52915668
716000,216242390.81329334
718000,216085468.05267
720000,215903491.99408665
722000,215877199.22174332
724000,215898215.61271003
726000,216355201.1926867
728000,217161920.9587933
730000,217719551.93739
732000,218274055.12645334
734000,218714268.96086332
736000,218633726.81685334
738000,218634620.7645033
740000,219003242.26591337
742000,219675927.27912003
744000,220174699.56388333
746000,220464517.1125367
748000,220239760.47506666
750000,219785180.40896663
752000,219295355.09266
754000,218754848.56761336
756000,218239576.08165666
758000,217795302.03974333
760000,217312439.64387333
762000,216845488.15166
764000,216477510.09323335
766000,216297010.11158666
768000,216477041.7410433
770000,217084544.7370867
772000,217811087.6312367
774000,218471576.58827332
776000,219094706.04418665
778000,219424669.18062666
780000,219828734.47164667
782000,220064182.3308
784000,220180673.1131133
786000,220367879.78617665
788000,220245951.53344333
790000,219859797.27739334
792000,219911284.42068335
794000,220420693.68527666
796000,220682356.03858
798000,220562306.19678333
800000,220352643.78763
802000,220341628.18133995
804000,220443504.3743167
806000,220701965.02615336
808000,221487178.01122668
810000,222428876.97764
812000,223545329.95185664
814000,224853691.41432333
816000,225492863.30378667
818000,225552335.42184335
820000,225402218.7893467
822000,225377139.83625665
824000,225190143.25627
826000,224757264.64211
828000,224364949.86270002
830000,223949254.26816997
832000,223506453.02115002
834000,223012579.17813
836000,222582322.18188334
838000,222292277.90508336
840000,222077486.0113267
842000,221979278.97100663
844000,221984382.32123002
846000,222131917.95193335
848000,222447996.50642335
850000,222622758.98256
852000,222435542.23728666
854000,222111682.97608998
856000,221771086.65962002
858000,221576911.13392332
860000,221360898.7904533
862000,221148065.29209667
864000,221215189.11797
866000,221122626.11161
868000,220771070.08983335
870000,220323320.18233332
872000,219954230.42085335
874000,219701684.08060002
876000,219517581.09836
878000,219355147.13847664
880000,219141665.52433002
882000,218938845.75461665
884000,218567633.00368667
886000,218169369.9918633
888000,217897466.60329998
890000,218046689.88155004
892000,218116183.81197333
894000,217919284.10967332
896000,217728543.2840833
898000,217696517.69167998
900000,217938350.05438665
902000,217897647.43588665
904000,217864294.97054666
906000,217736980.81347
908000,217525899.00086004
910000,217214764.40713668
912000,216844785.59971333
914000,216425380.0223833
916000,215958642.21225998
918000,215500535.18041328
920000,215055806.19147334
922000,214652679.21902665
924000,214336618.7336733
926000,214009654.39981663
928000,213564825.02379
930000,213178126.45534334
932000,212867512.7433133
934000,212556987.29269332
936000,212412802.0971
938000,212235276.91490668
940000,211999662.74185666
942000,211810560.54801667
944000,211575052.71968
946000,211392545.70347005
948000,211283711.60647333
950000,211006285.02843332
952000,210789066.57087666
954000,210689946.32978666
956000,210523561.68844664
958000,210244601.93752334
960000,209945039.81221333
962000,209627751.84458
964000,209359115.5123067
966000,208988064.35352665
968000,208588364.5916733
970000,208314369.90518668
972000,208104087.51766664
974000,208069310.6577367
976000,208214607.93152666
978000,208341572.89224
980000,208520013.15598336
982000,208439965.18211666
984000,208352427.90470666
986000,208205268.83069664
988000,207938831.67756334
990000,207822444.2248933
992000,207879276.82279333
994000,207845668.75718668
996000,207616921.01957333
998000,207366557.97839
1000000,207050616.8176433
1002000,206772600.1747267
1004000,206479964.11859664
1006000,206106181.74570334
1008000,205766533.34215668
1010000,205484331.3967467
1012000,205186321.82865003
1014000,205009771.40894663
1016000,205042556.91141668
1018000,205145791.03055334
1020000,205192444.25033337
1022000,205023670.73224664
1024000,204635869.06684998
1026000,204322528.12131667
1028000,204134586.25933334
1030000,203901217.3009633
1032000,203557223.04291
1034000,203194302.03006998
1036000,202881065.19386333
1038000,202542458.7908433
1040000,202198461.68044668
1042000,201908031.78299996
1044000,201714040.61334005
1046000,201599586.21519667
1048000,201461542.2919
1050000,201339009.77824664
1052000,201119986.22164333
1054000,200875473.9404033
1056000,200665538.1390267
1058000,200509388.75721338
1060000,200388574.6509567
1062000,200457820.7450333
1064000,200587311.79878998
1066000,200591887.75551665
1068000,200611577.16379997
1070000,200739898.97534335
1072000,200929288.7097767
1074000,201122081.49153
1076000,201303855.21097663
1078000,201369710.38630664
1080000,201346193.64407665
1082000,201320121.3050367
1084000,201565384.39154994
1086000,201853842.21263665
1088000,201978341.52431667
1090000,201870727.15170664
1092000,201894032.10297334
1094000,202123639.36702663
1096000,202541209.89449334
1098000,202596487.40505335
1100000,202480106.83664
1102000,202356551.3628233
1104000,202347589.82990667
1106000,202248354.22402668
1108000,201991605.68811998
1110000,201691530.80031002
1112000,201373009.2365533
1114000,201093270.8243333
1116000,200881290.51386
1118000,200753975.54773334
1120000,200626259.54727665
1122000,200497895.82767332
1124000,200350892.51804668
1126000,200252291.88499
1128000,200047989.57109
1130000,199823185.82595667
1132000,199764956.41599667
1134000,200045294.32449335
1136000,200401871.3300733
1138000,200366086.92641
1140000,200311214.71635002
1142000,200410805.00316334
1144000,200765365.83815336
1146000,201090353.4602133
1148000,200924763.82325664
1150000,200675518.53245664
1152000,200586295.81091332
1154000,200431422.55039334
1156000,200350816.68651667
1158000,200520561.73659667
1160000,200653191.31579
1162000,200706893.9636767
1164000,200863511.37880337
1166000,201269434.73270336
1168000,201784362.71684667
1170000,202341701.9376933
1172000,202734276.80018336
1174000,203212352.05004
1176000,203703899.42771333
1178000,204117053.25513664
1180000,204690197.0392967
1182000,205224110.81860667
1184000,205685252.21802667
1186000,206188352.78579333
1188000,206670225.61982667
1190000,207028129.06701335
1192000,206955110.47799337
1194000,206709135.80708665
1196000,206545195.09397668
1198000,206452853.7750433
1200000,206266333.7912133
1202000,206173064.34324002
1204000,206162942.37401333
1206000,206386449.80793
1208000,206775847.50497663
1210000,206943520.38236
1212000,207129730.38104668
1214000,207485231.95845
1216000,207850059.5602667
1218000,208141225.99379668
1220000,208464427.3119967
1222000,208539645.59440997
1224000,208537216.5486133
1226000,208483499.75066
1228000,208247635.50507668
1230000,208026128.8750667
1232000,207804903.66690668
1234000,207639810.32688338
1236000,207498567.75016332
1238000,207425221.00414997
1240000,207416980.44866005
1242000,207491169.58473668
1244000,207581641.32790667
1246000,207584481.4567867
1248000,207585491.76939
1250000,207607204.89007336
1252000,207981195.53779998
1254000,208460380.84543335
1256000,208946464.88446665
1258000,209524675.83785334
1260000,209966116.2248966
1262000,210363891.11097997
1264000,210774163.4625767
1266000,211079249.12944996
1268000,211365638.71494332
1270000,211828535.41181996
1272000,212372347.93461663
1274000,212480668.88806662
1276000,212369161.84136334
1278000,212430239.5477067
1280000,212748602.00443667
1282000,213267342.45932665
1284000,213911021.81221
1286000,214316552.95266664
1288000,214211814.00556996
1290000,213945118.56007668
1292000,213710115.94700667
1294000,213536813.45603666
1296000,213353197.03437337
1298000,213134126.72813335
1300000,212930593.26634333
1302000,212862625.43788663
